Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Forward,0.0,0.0,15.0,60,11.0,13.0,21.0,71.0,51.0,0.0,1,385,18.33,1.0,55.0,22,3.0,22.0,1,0,17,7.0,3,0.14,34.0,44,0.0,0.0,27,17500000,80,0.0,46.8013468013468,43.87755102040816
Midfielder,0.0,0.0,36.0,72,8.0,12.0,29.0,83.0,14.0,0.0,1,353,19.61,0.0,8.0,25,1.0,3.0,3,0,21,1.0,2,0.11,18.0,39,0.0,0.0,28,4000000,73,0.0,42.61363636363637,27.906976744186046
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,20,1700000,68,0.0,0.0,0.0
Midfielder,0.0,0.0,19.0,84,6.0,9.0,5.0,66.0,4.0,0.0,0,586,45.08,0.0,5.0,0,1.0,37.0,4,0,9,0.0,1,0.08,11.0,9,0.0,0.0,27,10000000,77,0.0,53.01204819277108,75.0
Midfielder,0.0,0.0,17.0,94,11.0,13.0,30.0,107.0,28.0,0.0,2,448,16.0,5.0,57.0,11,1.0,8.0,1,0,10,6.0,2,0.07,35.0,34,0.0,0.0,25,8500000,75,0.0,33.734939759036145,16.049382716049383
Forward,0.0,0.0,5.0,0,7.0,3.0,9.0,0.0,0.0,0.0,4,317,24.38,1.0,16.0,0,0.0,0.0,0,0,1,10.0,10,0.77,31.0,61,0.0,0.0,28,61000000,88,0.0,0.0,0.0
Defender,6.0,12.0,48.0,56,3.0,31.0,81.0,89.0,15.0,0.0,2,776,45.65,5.0,68.0,9,1.0,26.0,1,1,21,2.0,2,0.0,0.0,0,0.0,0.0,24,19000000,81,0.0,58.25688073394495,62.33766233766234
Forward,0.0,0.0,7.0,0,8.0,1.0,14.0,0.0,0.0,0.0,0,244,10.17,1.0,2.0,0,0.0,0.0,2,0,16,14.0,7,0.29,48.0,52,0.0,0.0,27,11000000,78,0.0,0.0,0.0
Forward,0.0,0.0,82.0,0,26.0,24.0,27.0,0.0,0.0,0.0,2,835,23.19,1.0,45.0,0,0.0,0.0,2,1,63,8.0,7,0.19,66.0,32,0.0,0.0,25,10000000,76,0.0,0.0,0.0
Goalkeeper,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,22,375000,62,0.0,0.0,0.0
